Trace<2019-11-26 19:46:40.000000: ../car-breaker-project/car-breaker-main.cpp: 112> int main(int, char**);
Trace<2019-11-26 19:46:40.000000: ../car-breaker-project/config-manager.cpp:  41>   char** GetParameters(int*, char*);
Trace<2019-11-26 19:46:40.000000: ../car-breaker-project/car-breaker-graphics.cpp:1833>   bool initializeGameData(int, char**);
Trace<2019-11-26 19:46:40.000000: ../car-breaker-project/car-breaker-graphics.cpp:2050>   bool initializeGraphics();
Trace<2019-11-26 19:46:40.000000: ../car-breaker-project/car-breaker-graphics.cpp:2060>   bool initializeGraphics();
Trace<2019-11-26 19:46:40.046875: ../car-breaker-project/car-breaker-graphics.cpp:2071>   bool initializeGraphics();
Trace<2019-11-26 19:46:40.046875: ../car-breaker-project/car-breaker-graphics.cpp: 663>     bool loadFont(GameData*, int);
Trace<2019-11-26 19:46:40.046875: ../car-breaker-project/car-breaker-graphics.cpp:2078>   bool initializeGraphics();
Trace<2019-11-26 19:46:40.046875: ../car-breaker-project/car-breaker-graphics.cpp: 663>     bool loadFont(GameData*, int);
Trace<2019-11-26 19:46:40.046875: ../car-breaker-project/car-breaker-graphics.cpp:2084>   bool initializeGraphics();
Trace<2019-11-26 19:46:40.046875: ../car-breaker-project/car-breaker-graphics.cpp: 663>     bool loadFont(GameData*, int);
Trace<2019-11-26 19:46:40.046875: ../car-breaker-project/car-breaker-graphics.cpp:2090>   bool initializeGraphics();
Trace<2019-11-26 19:46:40.078125: ../car-breaker-project/car-breaker-graphics.cpp:2097>   bool initializeGraphics();
Trace<2019-11-26 19:46:40.078125: ../car-breaker-project/car-breaker-graphics.cpp: 550>     bool loadPlayerBitmap(GamePlayer*, char*);
Trace<2019-11-26 19:46:40.078125: ../car-breaker-project/car-breaker-graphics.cpp: 550>     bool loadPlayerBitmap(GamePlayer*, char*);
Trace<2019-11-26 19:46:40.078125: ../car-breaker-project/car-breaker-graphics.cpp: 574>     bool loadBitmap(GameBasicBlock*, char*);
Trace<2019-11-26 19:46:40.093750: ../car-breaker-project/car-breaker-graphics.cpp: 599>     bool setBitmap(GameBasicBlock*, ALLEGRO_BITMAP*);
Trace<2019-11-26 19:46:40.093750: ../car-breaker-project/car-breaker-graphics.cpp: 599>     bool setBitmap(GameBasicBlock*, ALLEGRO_BITMAP*);
Trace<2019-11-26 19:46:40.093750: ../car-breaker-project/car-breaker-graphics.cpp: 599>     bool setBitmap(GameBasicBlock*, ALLEGRO_BITMAP*);
Trace<2019-11-26 19:46:40.093750: ../car-breaker-project/car-breaker-graphics.cpp: 599>     bool setBitmap(GameBasicBlock*, ALLEGRO_BITMAP*);
Trace<2019-11-26 19:46:40.093750: ../car-breaker-project/car-breaker-graphics.cpp: 599>     bool setBitmap(GameBasicBlock*, ALLEGRO_BITMAP*);
Trace<2019-11-26 19:46:40.093750: ../car-breaker-project/car-breaker-graphics.cpp: 599>     bool setBitmap(GameBasicBlock*, ALLEGRO_BITMAP*);
Trace<2019-11-26 19:46:40.093750: ../car-breaker-project/car-breaker-graphics.cpp: 599>     bool setBitmap(GameBasicBlock*, ALLEGRO_BITMAP*);
Trace<2019-11-26 19:46:40.093750: ../car-breaker-project/car-breaker-graphics.cpp: 599>     bool setBitmap(GameBasicBlock*, ALLEGRO_BITMAP*);
Trace<2019-11-26 19:46:40.093750: ../car-breaker-project/car-breaker-graphics.cpp: 599>     bool setBitmap(GameBasicBlock*, ALLEGRO_BITMAP*);
Trace<2019-11-26 19:46:40.093750: ../car-breaker-project/car-breaker-graphics.cpp: 599>     bool setBitmap(GameBasicBlock*, ALLEGRO_BITMAP*);
Trace<2019-11-26 19:46:40.093750: ../car-breaker-project/car-breaker-graphics.cpp: 599>     bool setBitmap(GameBasicBlock*, ALLEGRO_BITMAP*);
Trace<2019-11-26 19:46:40.093750: ../car-breaker-project/car-breaker-graphics.cpp: 599>     bool setBitmap(GameBasicBlock*, ALLEGRO_BITMAP*);
Trace<2019-11-26 19:46:40.093750: ../car-breaker-project/car-breaker-graphics.cpp: 599>     bool setBitmap(GameBasicBlock*, ALLEGRO_BITMAP*);
Trace<2019-11-26 19:46:40.093750: ../car-breaker-project/car-breaker-graphics.cpp: 599>     bool setBitmap(GameBasicBlock*, ALLEGRO_BITMAP*);
Trace<2019-11-26 19:46:40.093750: ../car-breaker-project/car-breaker-graphics.cpp: 599>     bool setBitmap(GameBasicBlock*, ALLEGRO_BITMAP*);
Trace<2019-11-26 19:46:40.093750: ../car-breaker-project/car-breaker-graphics.cpp: 599>     bool setBitmap(GameBasicBlock*, ALLEGRO_BITMAP*);
Trace<2019-11-26 19:46:40.093750: ../car-breaker-project/car-breaker-graphics.cpp: 599>     bool setBitmap(GameBasicBlock*, ALLEGRO_BITMAP*);
Trace<2019-11-26 19:46:40.093750: ../car-breaker-project/car-breaker-graphics.cpp: 599>     bool setBitmap(GameBasicBlock*, ALLEGRO_BITMAP*);
Trace<2019-11-26 19:46:40.093750: ../car-breaker-project/car-breaker-graphics.cpp: 599>     bool setBitmap(GameBasicBlock*, ALLEGRO_BITMAP*);
Trace<2019-11-26 19:46:40.093750: ../car-breaker-project/car-breaker-graphics.cpp: 599>     bool setBitmap(GameBasicBlock*, ALLEGRO_BITMAP*);
Trace<2019-11-26 19:46:40.093750: ../car-breaker-project/car-breaker-graphics.cpp: 599>     bool setBitmap(GameBasicBlock*, ALLEGRO_BITMAP*);
Trace<2019-11-26 19:46:40.093750: ../car-breaker-project/car-breaker-graphics.cpp: 599>     bool setBitmap(GameBasicBlock*, ALLEGRO_BITMAP*);
Trace<2019-11-26 19:46:40.093750: ../car-breaker-project/car-breaker-graphics.cpp: 599>     bool setBitmap(GameBasicBlock*, ALLEGRO_BITMAP*);
Trace<2019-11-26 19:46:40.093750: ../car-breaker-project/car-breaker-graphics.cpp: 599>     bool setBitmap(GameBasicBlock*, ALLEGRO_BITMAP*);
Trace<2019-11-26 19:46:40.093750: ../car-breaker-project/car-breaker-graphics.cpp: 599>     bool setBitmap(GameBasicBlock*, ALLEGRO_BITMAP*);
Trace<2019-11-26 19:46:40.093750: ../car-breaker-project/car-breaker-graphics.cpp: 599>     bool setBitmap(GameBasicBlock*, ALLEGRO_BITMAP*);
Trace<2019-11-26 19:46:40.093750: ../car-breaker-project/car-breaker-graphics.cpp: 599>     bool setBitmap(GameBasicBlock*, ALLEGRO_BITMAP*);
Trace<2019-11-26 19:46:40.093750: ../car-breaker-project/car-breaker-graphics.cpp: 599>     bool setBitmap(GameBasicBlock*, ALLEGRO_BITMAP*);
Trace<2019-11-26 19:46:40.093750: ../car-breaker-project/car-breaker-graphics.cpp: 599>     bool setBitmap(GameBasicBlock*, ALLEGRO_BITMAP*);
Trace<2019-11-26 19:46:40.093750: ../car-breaker-project/car-breaker-graphics.cpp: 599>     bool setBitmap(GameBasicBlock*, ALLEGRO_BITMAP*);
Trace<2019-11-26 19:46:40.093750: ../car-breaker-project/car-breaker-graphics.cpp: 599>     bool setBitmap(GameBasicBlock*, ALLEGRO_BITMAP*);
Trace<2019-11-26 19:46:40.093750: ../car-breaker-project/car-breaker-graphics.cpp: 599>     bool setBitmap(GameBasicBlock*, ALLEGRO_BITMAP*);
Trace<2019-11-26 19:46:40.093750: ../car-breaker-project/car-breaker-graphics.cpp: 599>     bool setBitmap(GameBasicBlock*, ALLEGRO_BITMAP*);
Trace<2019-11-26 19:46:40.093750: ../car-breaker-project/car-breaker-graphics.cpp: 599>     bool setBitmap(GameBasicBlock*, ALLEGRO_BITMAP*);
Trace<2019-11-26 19:46:40.093750: ../car-breaker-project/car-breaker-graphics.cpp: 599>     bool setBitmap(GameBasicBlock*, ALLEGRO_BITMAP*);
Trace<2019-11-26 19:46:40.093750: ../car-breaker-project/car-breaker-graphics.cpp: 599>     bool setBitmap(GameBasicBlock*, ALLEGRO_BITMAP*);
Trace<2019-11-26 19:46:40.093750: ../car-breaker-project/car-breaker-graphics.cpp: 599>     bool setBitmap(GameBasicBlock*, ALLEGRO_BITMAP*);
Trace<2019-11-26 19:46:40.093750: ../car-breaker-project/car-breaker-graphics.cpp: 599>     bool setBitmap(GameBasicBlock*, ALLEGRO_BITMAP*);
Trace<2019-11-26 19:46:40.093750: ../car-breaker-project/car-breaker-graphics.cpp: 599>     bool setBitmap(GameBasicBlock*, ALLEGRO_BITMAP*);
Trace<2019-11-26 19:46:40.093750: ../car-breaker-project/car-breaker-graphics.cpp: 599>     bool setBitmap(GameBasicBlock*, ALLEGRO_BITMAP*);
Trace<2019-11-26 19:46:40.093750: ../car-breaker-project/car-breaker-graphics.cpp: 599>     bool setBitmap(GameBasicBlock*, ALLEGRO_BITMAP*);
Trace<2019-11-26 19:46:40.093750: ../car-breaker-project/car-breaker-graphics.cpp: 599>     bool setBitmap(GameBasicBlock*, ALLEGRO_BITMAP*);
Trace<2019-11-26 19:46:40.093750: ../car-breaker-project/car-breaker-graphics.cpp: 599>     bool setBitmap(GameBasicBlock*, ALLEGRO_BITMAP*);
Trace<2019-11-26 19:46:40.093750: ../car-breaker-project/car-breaker-graphics.cpp: 599>     bool setBitmap(GameBasicBlock*, ALLEGRO_BITMAP*);
Trace<2019-11-26 19:46:40.093750: ../car-breaker-project/car-breaker-graphics.cpp: 599>     bool setBitmap(GameBasicBlock*, ALLEGRO_BITMAP*);
Trace<2019-11-26 19:46:40.093750: ../car-breaker-project/car-breaker-graphics.cpp: 599>     bool setBitmap(GameBasicBlock*, ALLEGRO_BITMAP*);
Trace<2019-11-26 19:46:40.093750: ../car-breaker-project/car-breaker-graphics.cpp: 599>     bool setBitmap(GameBasicBlock*, ALLEGRO_BITMAP*);
Trace<2019-11-26 19:46:40.093750: ../car-breaker-project/car-breaker-graphics.cpp: 599>     bool setBitmap(GameBasicBlock*, ALLEGRO_BITMAP*);
Trace<2019-11-26 19:46:40.093750: ../car-breaker-project/car-breaker-graphics.cpp: 599>     bool setBitmap(GameBasicBlock*, ALLEGRO_BITMAP*);
Trace<2019-11-26 19:46:40.093750: ../car-breaker-project/car-breaker-graphics.cpp: 599>     bool setBitmap(GameBasicBlock*, ALLEGRO_BITMAP*);
Trace<2019-11-26 19:46:40.093750: ../car-breaker-project/car-breaker-graphics.cpp: 599>     bool setBitmap(GameBasicBlock*, ALLEGRO_BITMAP*);
Trace<2019-11-26 19:46:40.093750: ../car-breaker-project/car-breaker-graphics.cpp: 599>     bool setBitmap(GameBasicBlock*, ALLEGRO_BITMAP*);
Trace<2019-11-26 19:46:40.093750: ../car-breaker-project/car-breaker-graphics.cpp: 599>     bool setBitmap(GameBasicBlock*, ALLEGRO_BITMAP*);
Trace<2019-11-26 19:46:40.093750: ../car-breaker-project/car-breaker-graphics.cpp: 599>     bool setBitmap(GameBasicBlock*, ALLEGRO_BITMAP*);
Trace<2019-11-26 19:46:40.093750: ../car-breaker-project/car-breaker-graphics.cpp: 599>     bool setBitmap(GameBasicBlock*, ALLEGRO_BITMAP*);
Trace<2019-11-26 19:46:40.093750: ../car-breaker-project/car-breaker-graphics.cpp: 599>     bool setBitmap(GameBasicBlock*, ALLEGRO_BITMAP*);
Trace<2019-11-26 19:46:40.093750: ../car-breaker-project/car-breaker-graphics.cpp: 599>     bool setBitmap(GameBasicBlock*, ALLEGRO_BITMAP*);
Trace<2019-11-26 19:46:40.093750: ../car-breaker-project/car-breaker-graphics.cpp: 599>     bool setBitmap(GameBasicBlock*, ALLEGRO_BITMAP*);
Trace<2019-11-26 19:46:40.093750: ../car-breaker-project/car-breaker-graphics.cpp: 599>     bool setBitmap(GameBasicBlock*, ALLEGRO_BITMAP*);
Trace<2019-11-26 19:46:40.093750: ../car-breaker-project/car-breaker-graphics.cpp: 599>     bool setBitmap(GameBasicBlock*, ALLEGRO_BITMAP*);
Trace<2019-11-26 19:46:40.093750: ../car-breaker-project/car-breaker-graphics.cpp: 599>     bool setBitmap(GameBasicBlock*, ALLEGRO_BITMAP*);
Trace<2019-11-26 19:46:40.093750: ../car-breaker-project/car-breaker-graphics.cpp: 599>     bool setBitmap(GameBasicBlock*, ALLEGRO_BITMAP*);
Trace<2019-11-26 19:46:40.093750: ../car-breaker-project/car-breaker-graphics.cpp: 599>     bool setBitmap(GameBasicBlock*, ALLEGRO_BITMAP*);
Trace<2019-11-26 19:46:40.093750: ../car-breaker-project/car-breaker-graphics.cpp: 599>     bool setBitmap(GameBasicBlock*, ALLEGRO_BITMAP*);
Trace<2019-11-26 19:46:40.093750: ../car-breaker-project/car-breaker-graphics.cpp: 599>     bool setBitmap(GameBasicBlock*, ALLEGRO_BITMAP*);
Trace<2019-11-26 19:46:40.093750: ../car-breaker-project/car-breaker-graphics.cpp: 599>     bool setBitmap(GameBasicBlock*, ALLEGRO_BITMAP*);
Trace<2019-11-26 19:46:40.093750: ../car-breaker-project/car-breaker-graphics.cpp: 599>     bool setBitmap(GameBasicBlock*, ALLEGRO_BITMAP*);
Trace<2019-11-26 19:46:40.093750: ../car-breaker-project/car-breaker-graphics.cpp: 599>     bool setBitmap(GameBasicBlock*, ALLEGRO_BITMAP*);
Trace<2019-11-26 19:46:40.093750: ../car-breaker-project/car-breaker-graphics.cpp: 599>     bool setBitmap(GameBasicBlock*, ALLEGRO_BITMAP*);
Trace<2019-11-26 19:46:40.093750: ../car-breaker-project/car-breaker-graphics.cpp: 599>     bool setBitmap(GameBasicBlock*, ALLEGRO_BITMAP*);
Trace<2019-11-26 19:46:40.093750: ../car-breaker-project/car-breaker-graphics.cpp: 599>     bool setBitmap(GameBasicBlock*, ALLEGRO_BITMAP*);
Trace<2019-11-26 19:46:40.093750: ../car-breaker-project/car-breaker-graphics.cpp: 599>     bool setBitmap(GameBasicBlock*, ALLEGRO_BITMAP*);
Trace<2019-11-26 19:46:40.093750: ../car-breaker-project/car-breaker-graphics.cpp: 599>     bool setBitmap(GameBasicBlock*, ALLEGRO_BITMAP*);
Trace<2019-11-26 19:46:40.093750: ../car-breaker-project/car-breaker-graphics.cpp: 599>     bool setBitmap(GameBasicBlock*, ALLEGRO_BITMAP*);
Trace<2019-11-26 19:46:40.093750: ../car-breaker-project/car-breaker-graphics.cpp: 599>     bool setBitmap(GameBasicBlock*, ALLEGRO_BITMAP*);
Trace<2019-11-26 19:46:40.093750: ../car-breaker-project/car-breaker-graphics.cpp: 599>     bool setBitmap(GameBasicBlock*, ALLEGRO_BITMAP*);
Trace<2019-11-26 19:46:40.093750: ../car-breaker-project/car-breaker-graphics.cpp: 599>     bool setBitmap(GameBasicBlock*, ALLEGRO_BITMAP*);
Trace<2019-11-26 19:46:40.093750: ../car-breaker-project/car-breaker-graphics.cpp: 599>     bool setBitmap(GameBasicBlock*, ALLEGRO_BITMAP*);
Trace<2019-11-26 19:46:40.093750: ../car-breaker-project/car-breaker-graphics.cpp: 599>     bool setBitmap(GameBasicBlock*, ALLEGRO_BITMAP*);
Trace<2019-11-26 19:46:40.093750: ../car-breaker-project/car-breaker-graphics.cpp: 599>     bool setBitmap(GameBasicBlock*, ALLEGRO_BITMAP*);
Trace<2019-11-26 19:46:40.093750: ../car-breaker-project/car-breaker-graphics.cpp: 599>     bool setBitmap(GameBasicBlock*, ALLEGRO_BITMAP*);
Trace<2019-11-26 19:46:40.093750: ../car-breaker-project/car-breaker-graphics.cpp: 599>     bool setBitmap(GameBasicBlock*, ALLEGRO_BITMAP*);
Trace<2019-11-26 19:46:40.093750: ../car-breaker-project/car-breaker-graphics.cpp: 599>     bool setBitmap(GameBasicBlock*, ALLEGRO_BITMAP*);
Trace<2019-11-26 19:46:40.093750: ../car-breaker-project/car-breaker-graphics.cpp: 599>     bool setBitmap(GameBasicBlock*, ALLEGRO_BITMAP*);
Trace<2019-11-26 19:46:40.093750: ../car-breaker-project/car-breaker-graphics.cpp: 599>     bool setBitmap(GameBasicBlock*, ALLEGRO_BITMAP*);
Trace<2019-11-26 19:46:40.093750: ../car-breaker-project/car-breaker-graphics.cpp: 599>     bool setBitmap(GameBasicBlock*, ALLEGRO_BITMAP*);
Trace<2019-11-26 19:46:40.093750: ../car-breaker-project/car-breaker-graphics.cpp: 599>     bool setBitmap(GameBasicBlock*, ALLEGRO_BITMAP*);
Trace<2019-11-26 19:46:40.093750: ../car-breaker-project/car-breaker-graphics.cpp: 599>     bool setBitmap(GameBasicBlock*, ALLEGRO_BITMAP*);
Trace<2019-11-26 19:46:40.093750: ../car-breaker-project/car-breaker-graphics.cpp: 599>     bool setBitmap(GameBasicBlock*, ALLEGRO_BITMAP*);
Trace<2019-11-26 19:46:40.093750: ../car-breaker-project/car-breaker-graphics.cpp: 599>     bool setBitmap(GameBasicBlock*, ALLEGRO_BITMAP*);
Trace<2019-11-26 19:46:40.093750: ../car-breaker-project/car-breaker-graphics.cpp: 599>     bool setBitmap(GameBasicBlock*, ALLEGRO_BITMAP*);
Trace<2019-11-26 19:46:40.093750: ../car-breaker-project/car-breaker-graphics.cpp: 599>     bool setBitmap(GameBasicBlock*, ALLEGRO_BITMAP*);
Trace<2019-11-26 19:46:40.093750: ../car-breaker-project/car-breaker-graphics.cpp: 599>     bool setBitmap(GameBasicBlock*, ALLEGRO_BITMAP*);
Trace<2019-11-26 19:46:40.093750: ../car-breaker-project/car-breaker-graphics.cpp: 599>     bool setBitmap(GameBasicBlock*, ALLEGRO_BITMAP*);
Trace<2019-11-26 19:46:40.093750: ../car-breaker-project/car-breaker-graphics.cpp: 599>     bool setBitmap(GameBasicBlock*, ALLEGRO_BITMAP*);
Trace<2019-11-26 19:46:40.093750: ../car-breaker-project/car-breaker-graphics.cpp: 599>     bool setBitmap(GameBasicBlock*, ALLEGRO_BITMAP*);
Trace<2019-11-26 19:46:40.093750: ../car-breaker-project/car-breaker-graphics.cpp: 599>     bool setBitmap(GameBasicBlock*, ALLEGRO_BITMAP*);
Trace<2019-11-26 19:46:40.093750: ../car-breaker-project/car-breaker-graphics.cpp: 599>     bool setBitmap(GameBasicBlock*, ALLEGRO_BITMAP*);
Trace<2019-11-26 19:46:40.093750: ../car-breaker-project/car-breaker-graphics.cpp: 599>     bool setBitmap(GameBasicBlock*, ALLEGRO_BITMAP*);
Trace<2019-11-26 19:46:40.093750: ../car-breaker-project/car-breaker-graphics.cpp: 599>     bool setBitmap(GameBasicBlock*, ALLEGRO_BITMAP*);
Trace<2019-11-26 19:46:40.093750: ../car-breaker-project/car-breaker-graphics.cpp: 599>     bool setBitmap(GameBasicBlock*, ALLEGRO_BITMAP*);
Trace<2019-11-26 19:46:40.093750: ../car-breaker-project/car-breaker-graphics.cpp: 599>     bool setBitmap(GameBasicBlock*, ALLEGRO_BITMAP*);
Trace<2019-11-26 19:46:40.093750: ../car-breaker-project/car-breaker-graphics.cpp: 599>     bool setBitmap(GameBasicBlock*, ALLEGRO_BITMAP*);
Trace<2019-11-26 19:46:40.093750: ../car-breaker-project/car-breaker-graphics.cpp: 599>     bool setBitmap(GameBasicBlock*, ALLEGRO_BITMAP*);
Trace<2019-11-26 19:46:40.093750: ../car-breaker-project/car-breaker-graphics.cpp: 599>     bool setBitmap(GameBasicBlock*, ALLEGRO_BITMAP*);
Trace<2019-11-26 19:46:40.093750: ../car-breaker-project/car-breaker-graphics.cpp: 599>     bool setBitmap(GameBasicBlock*, ALLEGRO_BITMAP*);
Trace<2019-11-26 19:46:40.093750: ../car-breaker-project/car-breaker-graphics.cpp: 599>     bool setBitmap(GameBasicBlock*, ALLEGRO_BITMAP*);
Trace<2019-11-26 19:46:40.093750: ../car-breaker-project/car-breaker-graphics.cpp: 599>     bool setBitmap(GameBasicBlock*, ALLEGRO_BITMAP*);
Trace<2019-11-26 19:46:40.093750: ../car-breaker-project/car-breaker-graphics.cpp: 599>     bool setBitmap(GameBasicBlock*, ALLEGRO_BITMAP*);
Trace<2019-11-26 19:46:40.093750: ../car-breaker-project/car-breaker-graphics.cpp: 599>     bool setBitmap(GameBasicBlock*, ALLEGRO_BITMAP*);
Trace<2019-11-26 19:46:40.093750: ../car-breaker-project/car-breaker-graphics.cpp: 599>     bool setBitmap(GameBasicBlock*, ALLEGRO_BITMAP*);
Trace<2019-11-26 19:46:40.093750: ../car-breaker-project/car-breaker-graphics.cpp: 599>     bool setBitmap(GameBasicBlock*, ALLEGRO_BITMAP*);
Trace<2019-11-26 19:46:40.093750: ../car-breaker-project/car-breaker-graphics.cpp: 599>     bool setBitmap(GameBasicBlock*, ALLEGRO_BITMAP*);
Trace<2019-11-26 19:46:40.093750: ../car-breaker-project/car-breaker-graphics.cpp: 599>     bool setBitmap(GameBasicBlock*, ALLEGRO_BITMAP*);
Trace<2019-11-26 19:46:40.093750: ../car-breaker-project/car-breaker-graphics.cpp: 599>     bool setBitmap(GameBasicBlock*, ALLEGRO_BITMAP*);
Trace<2019-11-26 19:46:40.093750: ../car-breaker-project/car-breaker-graphics.cpp: 599>     bool setBitmap(GameBasicBlock*, ALLEGRO_BITMAP*);
Trace<2019-11-26 19:46:40.093750: ../car-breaker-project/car-breaker-graphics.cpp: 599>     bool setBitmap(GameBasicBlock*, ALLEGRO_BITMAP*);
Trace<2019-11-26 19:46:40.093750: ../car-breaker-project/car-breaker-graphics.cpp: 599>     bool setBitmap(GameBasicBlock*, ALLEGRO_BITMAP*);
Trace<2019-11-26 19:46:40.093750: ../car-breaker-project/car-breaker-graphics.cpp: 599>     bool setBitmap(GameBasicBlock*, ALLEGRO_BITMAP*);
Trace<2019-11-26 19:46:40.093750: ../car-breaker-project/car-breaker-graphics.cpp: 599>     bool setBitmap(GameBasicBlock*, ALLEGRO_BITMAP*);
Trace<2019-11-26 19:46:40.093750: ../car-breaker-project/car-breaker-graphics.cpp: 619>     bool loadAudio(GamePlayer*);
Trace<2019-11-26 19:46:40.093750: ../car-breaker-project/car-breaker-graphics.cpp: 619>     bool loadAudio(GamePlayer*);
Trace<2019-11-26 19:46:40.093750: ../car-breaker-project/car-breaker-graphics.cpp: 640>     bool loadAudioWinner(GameData*);
Trace<2019-11-26 19:46:40.093750: ../car-breaker-project/car-breaker-graphics.cpp: 701>     void setInitialObjectPositions(GameData*);
Trace<2019-11-26 19:46:40.093750: ../car-breaker-project/car-breaker-graphics.cpp: 534>     void setBackgroundColor(ALLEGRO_COLOR);
Trace<2019-11-26 19:46:40.093750: ../car-breaker-project/car-breaker-graphics.cpp:2175>   void runGame();
Trace<2019-11-26 19:46:40.093750: ../car-breaker-project/car-breaker-graphics.cpp: 534>     void setBackgroundColor(ALLEGRO_COLOR);
Trace<2019-11-26 19:46:40.093750: ../car-breaker-project/car-breaker-graphics.cpp:1036>     bool drawTextAndWaitBegin(GameData*);
Trace<2019-11-26 19:46:40.093750: ../car-breaker-project/car-breaker-graphics.cpp:1006>       int drawTextOnScreen(GameData*, char*, int, int, int);
Trace<2019-11-26 19:46:40.109375: ../car-breaker-project/car-breaker-graphics.cpp:1006>       int drawTextOnScreen(GameData*, char*, int, int, int);
Trace<2019-11-26 19:46:40.109375: ../car-breaker-project/car-breaker-graphics.cpp:1006>       int drawTextOnScreen(GameData*, char*, int, int, int);
Trace<2019-11-26 19:46:40.125000: ../car-breaker-project/car-breaker-graphics.cpp:1006>       int drawTextOnScreen(GameData*, char*, int, int, int);
Trace<2019-11-26 19:46:40.125000: ../car-breaker-project/car-breaker-graphics.cpp:1006>       int drawTextOnScreen(GameData*, char*, int, int, int);
Trace<2019-11-26 19:46:40.125000: ../car-breaker-project/car-breaker-graphics.cpp: 925>       bool pressAnyKeyToBeginGame(GameData*);
Trace<2019-11-26 19:46:40.125000: ../car-breaker-project/car-breaker-graphics.cpp: 929>       bool pressAnyKeyToBeginGame(GameData*);
Trace<2019-11-26 19:46:40.125000: ../car-breaker-project/car-breaker-graphics.cpp:1706>     bool gameMainLoop(GameData*);
Trace<2019-11-26 19:46:40.125000: ../car-breaker-project/car-breaker-graphics.cpp:1357>       void startTimers(GameData*);
Trace<2019-11-26 19:46:40.125000: ../car-breaker-project/car-breaker-graphics.cpp:1319>       void playSound(ALLEGRO_SAMPLE*);
Trace<2019-11-26 19:46:40.125000: ../car-breaker-project/car-breaker-graphics.cpp:1748>     bool gameMainLoop(GameData*);
Trace<2019-11-26 19:46:40.125000: ../car-breaker-project/car-breaker-graphics.cpp: 838>       bool processKeyPressEvent(GameData*);
Trace<2019-11-26 19:46:40.125000: ../car-breaker-project/car-breaker-graphics.cpp:1748>     bool gameMainLoop(GameData*);
Trace<2019-11-26 19:46:40.125000: ../car-breaker-project/car-breaker-graphics.cpp: 838>       bool processKeyPressEvent(GameData*);
Trace<2019-11-26 19:46:40.125000: ../car-breaker-project/car-breaker-graphics.cpp: 966>       void movePlayers(GameData*);
Trace<2019-11-26 19:46:40.125000: ../car-breaker-project/car-breaker-graphics.cpp:1533>       bool updateBallPosition(GameData*);
Trace<2019-11-26 19:46:40.125000: ../car-breaker-project/car-breaker-graphics.cpp:1473>         bool checkBallCollisionWithObjects(GameData*);
